"h"-"t"-"nC"-"e"-"ov"-"xb"-"yb"-"xc"-"yc"
1-12,392-7-0-9-10-10-5-6
1-10,518-4-1-10-10-10-6-4
1-16,982-8-2-6-10-5-7-8
1-5,161-4-3-12-10-10-4-4
1-3,028-3-4-8,5-0-2,5-7-1
2-44,084-7-0-9-10-10-5-6
2-12,219-4-1-10-10-10-6-4
2-91,916-8-2-6-10-5-7-8
2-4,455-4-3-12-10-10-4-4
2-8,885-3-4-8,5-0-2,5-7-1
3-12,384-7-0-9-10-10-5-6
3-8,486-4-1-10-10-10-6-4
3-20,288-8-2-6-10-5-7-8
3-6,463-4-3-12-10-10-4-4
3-3,160-3-4-8,5-0-2,5-7-1
4-44,994-7-0-9-10-10-5-6
4-13,414-4-1-10-10-10-6-4
4-100,155-8-2-6-10-5-7-8
4-4,456-4-3-12-10-10-4-4
4-8,063-3-4-8,5-0-2,5-7-1
5-12,854-7-0-9-10-10-5-6
5-9,185-4-1-10-10-10-6-4
5-36,378-8-2-6-10-5-7-8
5-7,196-4-3-12-10-10-4-4
5-4,316-3-4-8,5-0-2,5-7-1
6-14,251-7-0-9-10-10-5-6
6-10,201-4-1-10-10-10-6-4
6-31,588-8-2-6-10-5-7-8
6-6,773-4-3-12-10-10-4-4
6-4,362-3-4-8,5-0-2,5-7-1
7-12,371-7-0-9-10-10-5-6
7-10,705-4-1-10-10-10-6-4
7-16,957-8-2-6-10-5-7-8
7-5,132-4-3-12-10-10-4-4
7-3,042-3-4-8,5-0-2,5-7-1
8-11,187-7-0-9-10-10-5-6
8-6,618-4-1-10-10-10-6-4
8-29,384-8-2-6-10-5-7-2
8-3,804-4-3-12-10-10-4-4
8-6,089-3-4-8,5-0-2,5-7-1
9-13,325-7-0-9-10-10-5-6
9-9,413-4-1-10-10-10-6-4
9-16,672-8-2-6-10-5-7-8
9-5,116-4-3-12-10-10-4-4
9-3,841-3-4-8,5-0-2,5-7-1
10-12,392-7-0-9-10-10-5-6
10-9,509-4-1-10-10-10-6-4
10-16,675-8-2-6-10-5-7-8
10-5,526-4-3-12-10-10-4-4
10-3,637-3-4-8,5-0-2,5-7-1
11-12,279-7-0-9-10-10-5-6
11-9,354-4-1-10-10-10-6-4
11-16,644-8-2-6-10-5-7-8
11-6,053-4-3-12-10-10-4-4
11-3,719-3-4-8,5-0-2,5-7-1
12-12,328-7-0-9-10-10-5-6
12-9,654-4-1-10-10-10-6-4
12-16,819-8-2-6-10-5-7-8
12-6,374-4-3-12-10-10-4-4
12-3,067-3-4-8,5-0-2,5-7-1
13-11,982-7-0-9-10-10-5-6
13-5,865-4-1-10-10-10-6-4
13-37,755-8-2-6-10-5-7-2
13-3,997-4-3-12-10-10-4-4
13-4,998-3-4-8,5-0-2,5-7-1
