"h"-"t"-"nC"-"e"-"ov"-"xb"-"yb"-"xc"-"yc"
1-3,576-3-0-18-0-15-10-7
1-3,504-4-1-15-15-15-2-13
1-29,892-15-2-10-15-0-13-8
1-30,589-12-3-8-15-15-12-10
1-45,870-14-4-8,5-4,5-15-1-10
2-12,943-3-0-18-0-15-10-7
2-13,486-4-1-15-15-15-2-13
2-518,919-15-2-10-15-0-8-3
2-454,869-12-3-8-15-15-12-10
2-888,895-14-4-8,5-4,5-15-1-10
3-5,574-3-0-18-0-15-10-7
3-6,150-4-1-15-15-15-2-13
3-100,190-15-2-10-15-0-13-8
3-54,189-12-3-8-15-0-8-1
3-91,775-14-4-8,5-4,5-15-1-10
4-12,933-3-0-18-0-15-10-7
4-17,557-4-1-15-15-15-2-13
4-530,915-15-2-10-15-0-8-3
4-473,383-12-3-8-15-15-12-10
4-869,218-14-4-8,5-4,5-15-1-10
5-3,593-3-0-18-0-15-10-7
5-22,861-4-1-15-15-15-2-13
5-35,141-15-2-10-15-0-13-8
5-42,914-12-3-8-15-15-12-10
5-108,488-14-4-8,5-4,5-15-1-10
6-3,571-3-0-18-0-15-10-7
6-3,502-4-1-15-15-15-2-13
6-40,201-15-2-10-15-0-13-8
6-41,363-12-3-8-15-15-12-10
6-53,740-14-4-8,5-4,5-15-1-10
7-3,553-3-0-18-0-15-10-7
7-3,534-4-1-15-15-15-2-13
7-29,518-15-2-10-15-0-13-8
7-30,546-12-3-8-15-15-12-10
7-45,039-14-4-8,5-4,5-15-1-10
8-3,491-3-0-18-0-15-10-7
8-8,723-4-1-15-15-15-2-13
8-98,273-15-2-10-15-0-13-8
8-103,619-12-3-8-0-0-0-8
8-171,876-14-4-8,5-4,5-15-10-12
9-3,601-3-0-18-0-15-10-7
9-3,498-4-1-15-15-15-2-13
9-29,550-15-2-10-15-0-13-8
9-30,184-12-3-8-15-15-12-10
9-44,357-14-4-8,5-4,5-15-1-10
10-3,526-3-0-18-0-15-10-7
10-3,438-4-1-15-15-15-2-13
10-29,420-15-2-10-15-0-13-8
10-29,778-12-3-8-15-15-12-10
10-44,423-14-4-8,5-4,5-15-1-10
11-3,543-3-0-18-0-15-10-7
11-3,521-4-1-15-15-15-2-13
11-29,386-15-2-10-15-0-13-8
11-29,823-12-3-8-15-15-12-10
11-44,570-14-4-8,5-4,5-15-1-10
12-3,653-3-0-18-0-15-10-7
12-3,542-4-1-15-15-15-2-13
12-30,113-15-2-10-15-0-13-8
12-30,592-12-3-8-15-15-12-10
12-44,558-14-4-8,5-4,5-15-1-10
13-3,592-3-0-18-0-15-10-7
13-11,335-4-1-15-15-15-2-13
13-146,137-15-2-10-15-0-8-3
13-109,958-12-3-8-0-0-4-4
13-224,173-14-4-8,5-4,5-15-10-12
