"h"-"t"-"nC"-"e"-"ov"-"xb"-"yb"-"xc"-"yc"
1-81,359-18-0-12-0-20-10-18
1-63,582-16-1-12-0-20-8-16
1-63,448-15-2-8,5-0-13,5-4-18
1-50,355-14-3-14-20-20-8-18
1-156,048-18-4-15-20-20-7-18
2-999,867-18-0-12-0-20-5-13
2-1010,456-16-1-12-0-20-8-16
2-1169,141-15-2-8,5-0-13,5-4-18
2-860,193-14-3-14-20-20-8-18
2-2478,918-18-4-15-20-20-7-18
3-238,594-18-0-12-0-20-10-18
3-74,595-16-1-12-0-20-8-16
3-237,766-15-2-8,5-0-13,5-4-18
3-75,053-14-3-14-20-20-8-18
3-278,913-18-4-15-20-20-7-18
4-1126,799-18-0-12-0-20-5-13
4-1147,766-16-1-12-0-20-8-16
4-1287,011-15-2-8,5-0-13,5-4-18
4-941,633-14-3-14-20-20-8-18
4-2618,461-18-4-15-20-20-7-18
5-111,490-18-0-12-0-20-10-18
5-112,748-16-1-12-0-20-8-16
5-114,072-15-2-8,5-0-13,5-4-18
5-54,114-14-3-14-20-20-8-18
5-231,225-18-4-15-20-20-7-18
6-183,172-18-0-12-0-20-10-18
6-113,052-16-1-12-0-20-8-16
6-111,529-15-2-8,5-0-13,5-4-18
6-115,195-14-3-14-20-20-8-18
6-240,771-18-4-15-20-20-7-18
7-81,679-18-0-12-0-20-10-18
7-63,846-16-1-12-0-20-8-16
7-68,442-15-2-8,5-0-13,5-4-18
7-51,054-14-3-14-20-20-8-18
7-155,472-18-4-15-20-20-7-18
8-338,152-18-0-12-0-20-5-13
8-206,672-16-1-12-0-20-5-13
8-219,872-15-2-8,5-0-13,5-1-6
8-73,230-14-3-14-20-20-8-18
8-163,989-18-4-15-20-20-7-18
9-81,275-18-0-12-0-20-10-18
9-63,413-16-1-12-0-20-8-16
9-63,448-15-2-8,5-0-13,5-4-18
9-50,166-14-3-14-20-20-8-18
9-156,267-18-4-15-20-20-7-18
10-81,941-18-0-12-0-20-10-18
10-63,388-16-1-12-0-20-8-16
10-64,405-15-2-8,5-0-13,5-4-18
10-50,512-14-3-14-20-20-8-18
10-160,728-18-4-15-20-20-7-18
11-82,699-18-0-12-0-20-10-18
11-65,132-16-1-12-0-20-8-16
11-66,633-15-2-8,5-0-13,5-4-18
11-51,672-14-3-14-20-20-8-18
11-157,182-18-4-15-20-20-7-18
12-82,089-18-0-12-0-20-10-18
12-64,307-16-1-12-0-20-8-16
12-79,704-15-2-8,5-0-13,5-4-18
12-53,156-14-3-14-20-20-8-18
12-154,665-18-4-15-20-20-7-18
13-428,658-18-0-12-0-20-5-13
13-340,656-16-1-12-0-20-5-13
13-398,851-15-2-8,5-0-13,5-1-6
13-134,168-14-3-14-20-20-8-18
13-185,037-18-4-15-20-20-7-18
