"h"-"t"-"nC"-"e"-"ov"-"xb"-"yb"-"xc"-"yc"
1-67,590-18-0-12-0-20-10-18
1-59,531-16-1-12-0-20-8-16
1-54,355-15-2-8,5-0-13,5-1-6
1-22,027-14-3-14-20-20-8-18
1-32,537-18-4-15-20-20-7-18
2-794,274-18-0-12-0-20-5-13
2-1099,640-16-1-12-0-20-8-16
2-1189,311-15-2-8,5-0-13,5-1-6
2-697,334-14-3-14-20-20-8-18
2-1716,036-18-4-15-20-20-7-18
3-132,452-18-0-12-0-20-10-18
3-91,964-16-1-12-0-20-8-16
3-111,267-15-2-8,5-0-13,5-1-6
3-71,233-14-3-14-20-20-8-18
3-45,717-18-4-15-20-20-7-18
4-894,499-18-0-12-0-20-5-13
4-1225,498-16-1-12-0-20-8-16
4-1306,423-15-2-8,5-0-13,5-1-6
4-747,472-14-3-14-20-20-8-18
4-1757,013-18-4-15-20-20-7-18
5-103,177-18-0-12-0-20-10-18
5-67,166-16-1-12-0-20-8-16
5-63,306-15-2-8,5-0-13,5-1-6
5-26,645-14-3-14-20-20-8-18
5-32,764-18-4-15-20-20-7-18
6-88,857-18-0-12-0-20-10-18
6-70,921-16-1-12-0-20-8-16
6-66,446-15-2-8,5-0-13,5-1-6
6-24,469-14-3-14-20-20-8-18
6-35,325-18-4-15-20-20-7-18
7-70,596-18-0-12-0-20-10-18
7-60,082-16-1-12-0-20-8-16
7-54,497-15-2-8,5-0-13,5-1-6
7-22,310-14-3-14-20-20-8-18
7-32,546-18-4-15-20-20-7-18
8-203,277-18-0-12-0-20-10-18
8-223,351-16-1-12-0-20-5-13
8-195,938-15-2-8,5-0-13,5-4-18
8-131,850-14-3-14-20-20-8-18
8-326,696-18-4-15-20-20-7-18
9-67,365-18-0-12-0-20-10-18
9-59,504-16-1-12-0-20-8-16
9-56,693-15-2-8,5-0-13,5-1-6
9-22,282-14-3-14-20-20-8-18
9-34,839-18-4-15-20-20-7-18
10-68,859-18-0-12-0-20-10-18
10-59,390-16-1-12-0-20-8-16
10-54,503-15-2-8,5-0-13,5-1-6
10-22,094-14-3-14-20-20-8-18
10-32,459-18-4-15-20-20-7-18
11-68,071-18-0-12-0-20-10-18
11-59,233-16-1-12-0-20-8-16
11-60,831-15-2-8,5-0-13,5-1-6
11-22,752-14-3-14-20-20-8-18
11-40,113-18-4-15-20-20-7-18
12-69,587-18-0-12-0-20-10-18
12-75,324-16-1-12-0-20-8-16
12-54,857-15-2-8,5-0-13,5-1-6
12-22,496-14-3-14-20-20-8-18
12-33,342-18-4-15-20-20-7-18
13-301,946-18-0-12-0-20-10-18
13-290,426-16-1-12-0-20-8-16
13-326,249-15-2-8,5-0-13,5-4-18
13-177,228-14-3-14-20-20-8-18
13-474,942-18-4-15-20-20-7-18
