"h"-"t"-"nC"-"e"-"ov"-"xb"-"yb"-"xc"-"yc"
1-4,319-3-0-4,5-0,5-5-3-3
1-3,915-3-1-6-5-5-1-3
1-1,942-2-2-5-0-5-2-2
1-6,471-5-3-4-0-5-0-1
1-1,894-2-4-7-0-5-2-0
2-9,653-3-0-4,5-0,5-5-0-1
2-6,986-3-1-6-5-5-1-3
2-2,259-2-2-5-5-0-2-2
2-23,989-5-3-4-0-5-0-1
2-2,713-2-4-7-0-5-2-0
3-4,877-3-0-4,5-0,5-5-3-3
3-5,318-3-1-6-5-5-1-3
3-1,874-2-2-5-0-5-2-2
3-10,680-5-3-4-0-5-0-1
3-1,935-2-4-7-0-5-2-0
4-8,593-3-0-4,5-0,5-5-0-1
4-6,997-3-1-6-5-5-1-3
4-2,251-2-2-5-5-0-2-2
4-25,725-5-3-4-0-5-0-1
4-2,546-2-4-7-0-5-2-0
5-6,851-3-0-4,5-0,5-5-3-3
5-5,356-3-1-6-5-5-1-3
5-2,026-2-2-5-0-5-2-2
5-7,488-5-3-4-0-5-0-1
5-2,011-2-4-7-0-5-2-0
6-4,743-3-0-4,5-0,5-5-3-3
6-5,360-3-1-6-5-5-1-3
6-2,163-2-2-5-0-5-2-2
6-10,312-5-3-4-0-5-0-1
6-2,208-2-4-7-0-5-2-0
7-4,190-3-0-4,5-0,5-5-3-3
7-3,957-3-1-6-5-5-1-3
7-1,802-2-2-5-0-5-2-2
7-6,596-5-3-4-0-5-0-1
7-2,484-2-4-7-0-5-2-0
8-5,317-3-0-4,5-0,5-5-0-1
8-2,823-3-1-6-5-5-1-3
8-2,091-2-2-5-0-5-2-2
8-8,018-5-3-4-5-5-3-3
8-1,652-2-4-7-5-5-3-0
9-3,993-3-0-4,5-0,5-5-3-3
9-3,998-3-1-6-5-5-1-3
9-2,050-2-2-5-0-5-2-2
9-6,313-5-3-4-0-5-0-1
9-1,824-2-4-7-0-5-2-0
10-4,184-3-0-4,5-0,5-5-3-3
10-4,806-3-1-6-5-5-1-3
10-1,935-2-2-5-0-5-2-2
10-6,324-5-3-4-0-5-0-1
10-1,928-2-4-7-0-5-2-0
11-4,167-3-0-4,5-0,5-5-3-3
11-3,936-3-1-6-5-5-1-3
11-1,849-2-2-5-0-5-2-2
11-6,515-5-3-4-0-5-0-1
11-1,903-2-4-7-0-5-2-0
12-3,910-3-0-4,5-0,5-5-3-3
12-4,045-3-1-6-5-5-1-3
12-1,967-2-2-5-0-5-2-2
12-6,511-5-3-4-0-5-0-1
12-1,835-2-4-7-0-5-2-0
13-5,678-3-0-4,5-0,5-5-0-1
13-2,819-3-1-6-5-5-1-3
13-1,919-2-2-5-0-5-2-2
13-7,851-5-3-4-5-5-3-3
13-1,631-2-4-7-5-5-3-0
